,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
76,2019,3,Kaduna South,Male,1,6,22,27,45,14,7,3,125,2019 Q3
77,2019,3,Kaduna South,Female,0,0,14,18,13,3,6,9,63,2019 Q3
78,2019,4,Kaduna South,Male,0,2,17,30,40,22,6,15,132,2019 Q4
79,2019,4,Kaduna South,Female,0,3,13,13,8,7,5,3,52,2019 Q4
80,2019,1,Kagarko,Male,0,0,3,2,4,0,1,1,11,2019 Q1
81,2019,1,Kagarko,Female,0,0,2,2,2,1,0,0,7,2019 Q1
82,2019,2,Kagarko,Male,0,0,0,5,4,3,1,1,14,2019 Q2
83,2019,2,Kagarko,Female,0,1,3,1,1,3,0,0,9,2019 Q2
84,2019,3,Kagarko,Male,0,1,4,0,1,0,1,0,7,2019 Q3
85,2019,3,Kagarko,Female,0,0,1,0,1,2,0,0,4,2019 Q3
86,2019,4,Kagarko,Male,0,0,3,3,1,0,1,2,10,2019 Q4
87,2019,4,Kagarko,Female,0,1,1,1,2,1,0,0,6,2019 Q4
88,2019,1,Kajuru,Male,0,0,2,1,0,0,0,2,5,2019 Q1
89,2019,1,Kajuru,Female,0,0,1,0,1,0,0,3,5,2019 Q1
90,2019,2,Kajuru,Male,0,0,1,0,6,1,0,0,8,2019 Q2
91,2019,2,Kajuru,Female,0,0,0,0,1,1,0,0,2,2019 Q2
92,2019,3,Kajuru,Male,0,0,2,2,4,1,1,2,12,2019 Q3
93,2019,3,Kajuru,Female,0,0,3,3,0,1,0,1,8,2019 Q3
94,2019,4,Kajuru,Male,0,0,0,7,3,2,3,0,15,2019 Q4
95,2019,4,Kajuru,Female,0,0,1,3,1,1,0,0,6,2019 Q4
96,2019,1,Kaura,Male,0,1,2,2,6,3,1,0,15,2019 Q1
97,2019,1,Kaura,Female,0,0,5,4,4,1,1,1,16,2019 Q1
98,2019,2,Kaura,Male,0,0,1,0,7,1,3,0,12,2019 Q2
99,2019,2,Kaura,Female,0,0,0,2,0,0,0,0,2,2019 Q2
100,2019,3,Kaura,Male,0,0,0,3,5,4,1,2,15,2019 Q3
101,2019,3,Kaura,Female,0,0,0,1,0,2,0,0,3,2019 Q3
102,2019,4,Kaura,Male,0,0,0,1,6,3,3,1,14,2019 Q4
103,2019,4,Kaura,Female,0,1,2,2,2,1,0,0,8,2019 Q4
104,2019,1,Kauru,Male,0,1,1,5,3,0,0,0,10,2019 Q1
105,2019,1,Kauru,Female,0,0,1,1,0,0,0,0,2,2019 Q1
106,2019,2,Kauru,Male,0,0,1,5,0,2,1,0,9,2019 Q2
107,2019,2,Kauru,Female,0,0,0,4,0,0,0,0,4,2019 Q2
108,2019,3,Kauru,Male,0,0,2,2,7,3,1,1,16,2019 Q3
109,2019,3,Kauru,Female,0,0,2,2,1,1,0,0,6,2019 Q3
110,2019,4,Kauru,Male,0,1,2,4,6,1,0,2,16,2019 Q4
111,2019,4,Kauru,Female,0,0,1,2,0,0,0,0,3,2019 Q4
112,2019,1,Kubau,Male,0,0,1,4,5,0,1,0,11,2019 Q1
113,2019,1,Kubau,Female,0,0,1,2,1,0,0,0,4,2019 Q1
114,2019,2,Kubau,Male,1,0,5,4,1,0,1,0,12,2019 Q2
115,2019,2,Kubau,Female,0,0,3,2,1,0,0,1,7,2019 Q2
116,2019,3,Kubau,Male,0,0,4,0,4,0,0,0,8,2019 Q3
