,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
324,2022,3,Kudan,1420,1371,49,1420,56,0,27,607,786,2,2022 Q3
325,2022,3,Markafi,1725,1680,45,1725,141,0,15,1710,0,0,2022 Q3
326,2022,3,Soba,1188,1181,7,1188,73,0,0,73,1115,0,2022 Q3
327,2022,3,Lere,897,872,25,890,43,0,5,38,854,0,2022 Q3
328,2022,3,Sabon-Gari,4565,4563,2,4565,342,2,0,4565,0,0,2022 Q3
329,2022,3,Zango-Kataf,1227,1227,0,1227,130,0,15,1212,0,0,2022 Q3
330,2022,3,Sanga,323,315,8,323,24,0,7,316,0,0,2022 Q3
331,2022,3,Jaba,762,762,0,762,48,0,0,762,0,0,2022 Q3
332,2022,3,Kauru,8346,8253,93,8346,544,0,0,8346,0,0,2022 Q3
333,2022,3,Birnin-Gwari,2232,2232,0,2232,103,0,1,2231,0,0,2022 Q3
334,2022,3,Chikun,3413,3413,0,3413,376,0,0,0,3413,0,2022 Q3
335,2022,3,Giwa,5067,5066,1,5067,572,0,14,5053,0,0,2022 Q3
336,2022,3,Igabi,2954,2954,0,2954,243,1,0,2954,0,0,2022 Q3
337,2022,3,Jema'a,3509,3489,20,3509,269,3,0,3509,0,0,2022 Q3
338,2022,3,Kachia,4299,4250,49,4296,496,0,37,4262,0,0,2022 Q3
339,2022,3,Kaduna North,6655,6617,38,6655,721,2,53,1153,5449,0,2022 Q3
340,2022,3,Kaduna South,4629,4626,3,4629,378,6,48,4581,0,0,2022 Q3
341,2022,3,Ikara,1650,1646,4,1650,41,0,1,42,1607,0,2022 Q3
342,2022,3,Kagarko,789,788,1,789,73,0,0,789,0,0,2022 Q3
343,2022,3,Kaura,1302,1270,32,1302,43,0,49,848,405,0,2022 Q3
344,2022,3,Kajuru,3751,3751,0,3751,253,0,4,3747,0,0,2022 Q3
345,2022,4,Kauru,7029,6853,176,7029,597,0,0,7029,0,0,2022 Q4
346,2022,4,Zaria,5026,5026,0,5026,836,4,12,5014,0,0,2022 Q4
347,2022,4,Kaura,809,788,21,809,82,0,25,674,110,0,2022 Q4
348,2022,4,Birnin-Gwari,1462,1462,0,1462,146,0,1,1461,0,0,2022 Q4
349,2022,4,Zango-Kataf,1448,1448,0,1448,153,0,14,1434,0,0,2022 Q4
350,2022,4,Chikun,3988,3988,0,3988,457,1,14,3974,0,0,2022 Q4
351,2022,4,Kaduna South,5674,5665,9,5674,495,7,53,5621,0,0,2022 Q4
352,2022,4,Giwa,5780,5780,0,5780,577,2,10,5770,0,0,2022 Q4
353,2022,4,Soba,1150,1142,8,1150,118,0,0,148,1002,0,2022 Q4
354,2022,4,Kajuru,4721,4721,0,4721,283,0,3,4718,0,0,2022 Q4
355,2022,4,Igabi,2999,2992,7,2999,252,0,0,2999,0,0,2022 Q4
356,2022,4,Kubau,1083,1043,40,1083,94,0,4,1079,0,0,2022 Q4
357,2022,4,Sanga,447,424,23,447,42,0,4,443,0,0,2022 Q4
358,2022,4,Kaduna North,9613,9519,94,9613,1022,3,96,717,8800,0,2022 Q4
359,2022,4,Kudan,1086,1035,51,1086,60,0,21,342,723,3,2022 Q4
360,2022,4,Lere,974,934,40,974,64,1,9,55,910,0,2022 Q4
361,2022,4,Markafi,2027,2015,12,2018,152,0,6,2021,0,0,2022 Q4
362,2022,4,Kagarko,1827,1827,0,1827,202,0,1,1826,0,0,2022 Q4
363,2022,4,Kachia,4552,4507,45,4552,495,0,33,4519,0,0,2022 Q4
364,2022,4,Sabon-Gari,5597,5596,1,5597,348,0,1,5596,0,0,2022 Q4
365,2022,4,Jaba,647,627,20,647,66,1,1,646,0,0,2022 Q4
366,2022,4,Ikara,1098,1097,1,1098,59,0,1,1097,0,0,2022 Q4
367,2022,4,Jema'a,4388,4368,20,4388,384,2,5,4383,0,0,2022 Q4
368,2023,1,Birnin-Gwari,1131,1131,0,1131,124,0,2,108,1021,0,2023 Q1
369,2023,2,Birnin-Gwari,1412,1412,0,1412,140,0,3,0,1409,0,2023 Q2
370,2023,3,Birnin-Gwari,0,0,0,0,0,0,0,0,0,0,2023 Q3
371,2023,4,Birnin-Gwari,0,0,0,0,0,0,0,0,0,0,2023 Q4
372,2023,1,Chikun,3603,3603,0,3577,343,0,9,0,3594,0,2023 Q1
373,2023,2,Chikun,3991,3991,0,3935,495,0,12,0,3979,0,2023 Q2
374,2023,3,Chikun,0,0,0,0,0,0,0,0,0,0,2023 Q3
375,2023,4,Chikun,0,0,0,0,0,0,0,0,0,0,2023 Q4
376,2023,1,Giwa,4740,4689,51,4690,563,0,10,4730,0,0,2023 Q1
377,2023,2,Giwa,4586,4586,0,4581,513,2,11,4575,0,0,2023 Q2
378,2023,3,Giwa,0,0,0,0,0,0,0,0,0,0,2023 Q3
379,2023,4,Giwa,0,0,0,0,0,0,0,0,0,0,2023 Q4
380,2023,1,Igabi,2855,2855,0,2855,254,0,1,2854,0,0,2023 Q1
381,2023,2,Igabi,2880,2868,12,2873,263,1,1,2879,0,0,2023 Q2
382,2023,3,Igabi,0,0,0,0,0,0,0,0,0,0,2023 Q3
383,2023,4,Igabi,0,0,0,0,0,0,0,0,0,0,2023 Q4
384,2023,1,Ikara,692,689,3,564,58,1,9,683,0,0,2023 Q1
385,2023,2,Ikara,2228,2225,3,1929,140,0,10,0,2218,1,2023 Q2
386,2023,3,Ikara,0,0,0,0,0,0,0,0,0,0,2023 Q3
387,2023,4,Ikara,0,0,0,0,0,0,0,0,0,0,2023 Q4
388,2023,1,Jaba,1089,1069,20,1089,93,0,2,1087,0,0,2023 Q1
389,2023,2,Jaba,1240,1220,20,1240,106,0,4,1236,0,0,2023 Q2
390,2023,3,Jaba,0,0,0,0,0,0,0,0,0,0,2023 Q3
391,2023,4,Jaba,0,0,0,0,0,0,0,0,0,0,2023 Q4
392,2023,1,Jema'a,3641,3621,20,3641,339,0,7,3634,0,0,2023 Q1
393,2023,2,Jema'a,3050,3019,31,3050,258,2,9,3041,0,0,2023 Q2
394,2023,3,Jema'a,0,0,0,0,0,0,0,0,0,0,2023 Q3
395,2023,4,Jema'a,0,0,0,0,0,0,0,0,0,0,2023 Q4
396,2023,1,Kachia,3779,3763,16,3779,497,0,29,3750,0,0,2023 Q1
397,2023,2,Kachia,4379,4369,10,3428,466,0,12,4367,0,0,2023 Q2
398,2023,3,Kachia,0,0,0,0,0,0,0,0,0,0,2023 Q3
399,2023,4,Kachia,0,0,0,0,0,0,0,0,0,0,2023 Q4
400,2023,1,Kaduna North,9219,8948,271,9125,821,3,130,2336,6753,0,2023 Q1
401,2023,2,Kaduna North,11513,11349,164,11513,993,0,82,2058,9373,0,2023 Q2
402,2023,3,Kaduna North,0,0,0,0,0,0,0,0,0,0,2023 Q3
403,2023,4,Kaduna North,0,0,0,0,0,0,0,0,0,0,2023 Q4
404,2023,1,Kaduna South,5369,5369,0,5369,582,0,21,5348,0,0,2023 Q1
405,2023,2,Kaduna South,7535,7522,13,7522,693,6,47,7488,0,0,2023 Q2
406,2023,3,Kaduna South,0,0,0,0,0,0,0,0,0,0,2023 Q3
407,2023,4,Kaduna South,0,0,0,0,0,0,0,0,0,0,2023 Q4
408,2023,1,Kagarko,1987,1987,0,1987,207,0,0,1987,0,0,2023 Q1
409,2023,2,Kagarko,2882,2882,0,2880,279,0,2,2880,0,0,2023 Q2
410,2023,3,Kagarko,0,0,0,0,0,0,0,0,0,0,2023 Q3
411,2023,4,Kagarko,0,0,0,0,0,0,0,0,0,0,2023 Q4
412,2023,1,Kajuru,4818,4818,0,4818,270,0,4,4814,0,0,2023 Q1
413,2023,2,Kajuru,5563,5563,0,5563,274,0,11,5552,0,0,2023 Q2
414,2023,3,Kajuru,0,0,0,0,0,0,0,0,0,0,2023 Q3
415,2023,4,Kajuru,0,0,0,0,0,0,0,0,0,0,2023 Q4
416,2023,1,Kaura,941,899,42,941,90,0,46,810,85,0,2023 Q1
417,2023,2,Kaura,1120,1100,20,1120,112,0,26,889,205,0,2023 Q2
418,2023,3,Kaura,0,0,0,0,0,0,0,0,0,0,2023 Q3
419,2023,4,Kaura,0,0,0,0,0,0,0,0,0,0,2023 Q4
420,2023,1,Kauru,7134,7134,0,6960,625,0,0,7134,0,0,2023 Q1
421,2023,2,Kauru,6443,6443,0,5600,560,0,10,6433,0,0,2023 Q2
422,2023,3,Kauru,0,0,0,0,0,0,0,0,0,0,2023 Q3
423,2023,4,Kauru,0,0,0,0,0,0,0,0,0,0,2023 Q4
424,2023,1,Kubau,1175,1170,5,1170,110,0,6,0,1169,0,2023 Q1
425,2023,2,Kubau,1049,1037,12,1049,158,0,0,1049,0,0,2023 Q2
426,2023,3,Kubau,0,0,0,0,0,0,0,0,0,0,2023 Q3
427,2023,4,Kubau,0,0,0,0,0,0,0,0,0,0,2023 Q4
428,2023,1,Kudan,991,970,21,991,60,0,15,459,517,0,2023 Q1
429,2023,2,Kudan,1341,1307,34,1301,72,0,11,1113,217,0,2023 Q2
430,2023,3,Kudan,0,0,0,0,0,0,0,0,0,0,2023 Q3
431,2023,4,Kudan,0,0,0,0,0,0,0,0,0,0,2023 Q4
432,2023,1,Lere,924,900,24,922,51,0,0,0,924,0,2023 Q1
433,2023,2,Lere,1123,1109,14,1116,61,1,1,1122,0,0,2023 Q2
434,2023,3,Lere,0,0,0,0,0,0,0,0,0,0,2023 Q3
435,2023,4,Lere,0,0,0,0,0,0,0,0,0,0,2023 Q4
436,2023,1,Markafi,2036,2016,20,2036,142,0,5,2031,0,0,2023 Q1
437,2023,2,Markafi,2287,2269,18,2287,174,2,7,2280,0,0,2023 Q2
438,2023,3,Markafi,0,0,0,0,0,0,0,0,0,0,2023 Q3
439,2023,4,Markafi,0,0,0,0,0,0,0,0,0,0,2023 Q4
440,2023,1,Sabon-Gari,7446,7446,0,7446,295,0,2,7444,0,0,2023 Q1
441,2023,2,Sabon-Gari,6420,6420,0,6420,313,0,0,6420,0,0,2023 Q2
442,2023,3,Sabon-Gari,0,0,0,0,0,0,0,0,0,0,2023 Q3
443,2023,4,Sabon-Gari,0,0,0,0,0,0,0,0,0,0,2023 Q4
444,2023,1,Sanga,908,893,15,906,84,0,6,902,0,0,2023 Q1
445,2023,2,Sanga,511,506,5,511,48,0,5,506,0,0,2023 Q2
446,2023,3,Sanga,0,0,0,0,0,0,0,0,0,0,2023 Q3
447,2023,4,Sanga,0,0,0,0,0,0,0,0,0,0,2023 Q4
448,2023,1,Soba,1399,1395,4,1399,90,0,0,90,1309,0,2023 Q1
449,2023,2,Soba,1067,1063,4,1068,94,0,0,669,398,0,2023 Q2
450,2023,3,Soba,0,0,0,0,0,0,0,0,0,0,2023 Q3
451,2023,4,Soba,0,0,0,0,0,0,0,0,0,0,2023 Q4
452,2023,1,Zango-Kataf,1855,1855,0,1855,203,0,14,1841,0,0,2023 Q1
453,2023,2,Zango-Kataf,1889,1889,0,1889,218,0,21,1868,0,0,2023 Q2
454,2023,3,Zango-Kataf,0,0,0,0,0,0,0,0,0,0,2023 Q3
455,2023,4,Zango-Kataf,0,0,0,0,0,0,0,0,0,0,2023 Q4
456,2023,1,Zaria,5668,5668,0,5615,767,0,9,5659,0,0,2023 Q1
457,2023,2,Zaria,7299,7244,55,7244,805,4,10,7289,0,0,2023 Q2
458,2023,3,Zaria,0,0,0,0,0,0,0,0,0,0,2023 Q3
459,2023,4,Zaria,0,0,0,0,0,0,0,0,0,0,2023 Q4
