,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
77,2019,4,Kaduna North,1127,1042,85,1127,174,1,58,1067,2,0,2019 Q4
78,2019,4,Kaduna South,1538,1538,0,1538,147,2,148,770,620,0,2019 Q4
79,2019,4,Kagarko,187,187,0,187,16,0,2,185,0,0,2019 Q4
80,2019,4,Kajuru,569,569,0,569,21,0,0,569,0,0,2019 Q4
81,2019,4,Kaura,250,246,4,250,22,0,11,165,74,0,2019 Q4
82,2019,4,Kauru,221,221,0,221,19,0,0,221,0,0,2019 Q4
83,2019,4,Kubau,260,216,44,260,20,0,1,259,0,0,2019 Q4
84,2019,4,Kudan,644,636,8,644,23,0,1,643,0,0,2019 Q4
85,2019,4,Lere,285,281,4,285,27,0,2,283,0,0,2019 Q4
86,2019,4,Markafi,457,444,13,457,53,0,5,452,0,0,2019 Q4
87,2019,4,Sabon-Gari,1169,1167,2,1169,91,0,1,1168,0,0,2019 Q4
88,2019,4,Sanga,297,250,47,297,29,0,27,270,0,0,2019 Q4
89,2019,4,Soba,383,380,3,383,17,0,5,302,76,0,2019 Q4
90,2019,4,Zango-Kataf,134,134,0,134,25,0,9,125,0,0,2019 Q4
91,2019,4,Zaria,1210,1175,35,1210,126,2,14,1157,39,0,2019 Q4
92,2020,1,Birnin-Gwari,28,28,0,28,13,0,1,19,8,0,2020 Q1
93,2020,1,Chikun,582,576,6,582,70,0,44,235,303,0,2020 Q1
94,2020,1,Giwa,115,113,2,115,62,3,11,103,1,0,2020 Q1
95,2020,1,Igabi,389,354,35,389,60,0,2,387,0,0,2020 Q1
96,2020,1,Ikara,557,557,0,556,17,0,21,536,0,0,2020 Q1
97,2020,1,Jaba,49,49,0,49,15,0,7,42,0,0,2020 Q1
98,2020,1,Jema'a,459,422,37,452,48,1,6,252,201,0,2020 Q1
99,2020,1,Kachia,1611,1611,0,1611,148,0,0,1611,0,0,2020 Q1
100,2020,1,Kaduna North,1024,944,80,1024,178,0,52,495,477,0,2020 Q1
101,2020,1,Kaduna South,1677,1674,3,1677,235,4,145,706,826,0,2020 Q1
102,2020,1,Kagarko,100,100,0,100,13,0,1,99,0,0,2020 Q1
103,2020,1,Kajuru,554,554,0,554,18,0,0,554,0,0,2020 Q1
104,2020,1,Kaura,235,224,11,235,20,0,10,126,99,0,2020 Q1
105,2020,1,Kauru,82,82,0,82,20,0,0,82,0,0,2020 Q1
106,2020,1,Kubau,218,173,45,218,17,0,0,218,0,0,2020 Q1
107,2020,1,Kudan,388,388,0,388,19,0,0,388,0,1,2020 Q1
108,2020,1,Lere,336,335,1,265,32,0,5,200,131,0,2020 Q1
109,2020,1,Markafi,313,299,14,313,34,0,2,311,0,0,2020 Q1
110,2020,1,Sabon-Gari,250,249,1,250,44,0,0,250,0,0,2020 Q1
111,2020,1,Sanga,248,206,42,248,31,0,39,209,0,0,2020 Q1
112,2020,1,Soba,415,414,1,415,17,0,0,17,398,0,2020 Q1
113,2020,1,Zango-Kataf,304,304,0,304,34,0,9,295,0,0,2020 Q1
114,2020,1,Zaria,1481,1467,14,1481,133,2,13,1468,0,0,2020 Q1
115,2020,2,Birnin-Gwari,54,54,0,51,13,0,0,54,0,0,2020 Q2
116,2020,2,Chikun,441,440,1,433,58,0,26,100,315,1,2020 Q2
117,2020,2,Giwa,59,59,0,59,10,0,11,48,0,0,2020 Q2
118,2020,2,Igabi,381,374,7,381,43,0,1,380,0,0,2020 Q2
119,2020,2,Ikara,197,188,9,170,12,1,8,57,132,0,2020 Q2
120,2020,2,Jaba,81,67,14,81,13,0,14,27,40,0,2020 Q2
121,2020,2,Jema'a,365,334,31,365,44,0,27,71,267,0,2020 Q2
122,2020,2,Kachia,1577,1574,3,1564,127,0,4,1573,0,0,2020 Q2
123,2020,2,Kaduna North,1600,1507,93,1600,188,4,83,1517,0,0,2020 Q2
124,2020,2,Kaduna South,1249,1205,44,1249,208,3,84,376,789,0,2020 Q2
125,2020,2,Kagarko,310,310,0,310,17,2,1,309,0,0,2020 Q2
126,2020,2,Kajuru,681,681,0,681,21,0,0,681,0,0,2020 Q2
127,2020,2,Kaura,176,171,5,176,20,0,2,61,113,0,2020 Q2
128,2020,2,Kauru,143,143,0,143,22,0,0,143,0,0,2020 Q2
129,2020,2,Kubau,197,177,20,197,21,0,4,193,0,0,2020 Q2
130,2020,2,Kudan,301,298,3,301,10,0,1,148,152,0,2020 Q2
131,2020,2,Lere,248,239,9,248,27,1,0,213,35,0,2020 Q2
132,2020,2,Markafi,342,335,7,342,35,0,2,340,0,0,2020 Q2
133,2020,2,Sabon-Gari,1098,1098,0,1098,70,0,0,1098,0,0,2020 Q2
134,2020,2,Sanga,324,296,28,324,21,0,35,289,0,0,2020 Q2
135,2020,2,Soba,518,513,5,518,21,0,0,15,503,0,2020 Q2
136,2020,2,Zango-Kataf,321,321,0,321,31,0,24,297,0,0,2020 Q2
137,2020,2,Zaria,1611,1604,7,1606,158,1,7,35,1569,1,2020 Q2
138,2020,3,Birnin-Gwari,679,679,0,679,23,0,0,679,0,0,2020 Q3
139,2020,3,Chikun,757,750,7,757,68,0,30,105,622,0,2020 Q3
140,2020,3,Giwa,288,288,0,288,52,0,9,279,0,0,2020 Q3
141,2020,3,Igabi,554,530,24,554,70,0,5,549,0,0,2020 Q3
142,2020,3,Ikara,293,286,7,293,16,1,15,63,215,0,2020 Q3
