,Year,Quarter,LGA,Male Total TB Cases Notified,Female Total TB Cases Notified,Male TB HIV Positive Cases,Female TB HIV Positive Cases,Male TB HIV Negative Cases,Female TB HIV Negative Cases,Male TB HIV Unknown Cases,Female TB HIV Unknown Cases,TB/HIV CPT,TB/HIV ART,Year_Quarter
448,2023,1,Soba,54,36,0,0,54,36,0,0,0,0,2023 Q1
449,2023,2,Soba,55,39,0,0,55,39,0,0,0,0,2023 Q2
450,2023,3,Soba,84,69,0,0,0,0,84,69,0,0,2023 Q3
451,2023,4,Soba,110,102,0,0,110,102,0,0,0,0,2023 Q4
452,2023,1,Zango-Kataf,133,70,5,1,128,69,0,0,6,6,2023 Q1
453,2023,2,Zango-Kataf,146,72,6,1,140,71,0,0,7,7,2023 Q2
454,2023,3,Zango-Kataf,143,90,4,3,139,87,0,0,7,7,2023 Q3
455,2023,4,Zango-Kataf,151,108,4,4,147,104,0,0,8,8,2023 Q4
456,2023,1,Zaria,464,303,7,2,457,301,0,0,9,9,2023 Q1
457,2023,2,Zaria,436,369,6,4,430,365,0,0,10,10,2023 Q2
458,2023,3,Zaria,507,376,2,1,505,375,0,0,3,3,2023 Q3
459,2023,4,Zaria,473,380,5,1,468,379,0,0,6,6,2023 Q4
